Price,Price,Short EMA,Long EMA
Ticker,IBM,,
Date,,,
2010-05-12,75.11454772949219,72.37952617788494,72.95718404650735
2010-05-13,74.43521118164062,72.46014127607144,72.97189078417037
2010-05-14,74.27103424072266,72.53115668644992,72.9848175847331
2010-05-17,73.84645080566406,72.58273684798773,72.99339104961798
2010-05-18,73.56903839111328,72.62141533987501,72.99911888386171
2010-05-19,72.95193481445312,72.63437688789769,72.99864939063377
2010-05-20,70.08727264404297,72.53449044696222,72.96968046778213
2010-05-21,71.00444030761719,72.4744884807134,72.95012583932278
2010-05-24,70.45527648925781,72.39530369673476,72.92530146768034
2010-05-25,70.49491119384766,72.32077850054311,72.901118479881
2010-05-26,69.76460266113281,72.22053631076233,72.86990936725665
2010-05-27,71.5535659790039,72.19438061147768,72.85681142309494
2010-05-28,70.91386413574219,72.14416427909589,72.83747861426555
