Price,Price,SMA_50,SMA_200
Ticker,IBM,,
Date,,,
2014-12-05,100.73873138427734,104.6715283203125,112.46803558349609
2014-12-08,99.8687515258789,104.33947875976563,112.41181625366211
2014-12-09,100.56595611572266,104.02652206420899,112.35974922180176
2014-12-10,99.03575897216797,103.6806315612793,112.29751747131348
2014-12-11,99.38131713867188,103.37425521850587,112.23334922790528
2014-12-12,95.87052154541016,103.00084945678711,112.1519298171997
2014-12-15,94.43907928466797,102.57724304199219,112.06610900878906
2014-12-16,93.4210205078125,102.12874114990234,111.96859603881836
2014-12-17,93.74185943603516,101.7274690246582,111.87056755065917
2014-12-18,97.2896499633789,101.35241729736327,111.78876369476319
2014-12-19,97.8017578125,101.02364059448242,111.70939903259277
2014-12-22,99.6095962524414,100.73702774047851,111.64298030853271
2014-12-23,100.10321807861328,100.48982498168945,111.57790916442872
2014-12-24,99.84404754638672,100.23400650024413,111.51317749023437
2014-12-26,100.16490936279297,100.00973098754883,111.45707622528076
2014-12-29,99.03575897216797,99.78628128051758,111.40044700622559
2014-12-30,98.75193786621094,99.53006881713867,111.33149654388427
2014-12-31,98.99259948730469,99.43738845825196,111.26072097778321
2015-01-02,99.99214172363281,99.43664352416992,111.2013028717041
2015-01-05,98.41876983642578,99.42207931518554,111.1243571472168
2015-01-06,96.2962646484375,99.36028564453125,111.04052394866943
2015-01-07,95.66693878173828,99.28713058471679,110.94875904083251
2015-01-08,97.7462387084961,99.25813537597656,110.84682773590087
2015-01-09,98.17196655273438,99.2164520263672,110.75435382843017
2015-01-12,96.5245590209961,99.14353607177735,110.66209217071533
2015-01-13,96.75283813476562,99.0642774963379,110.56909420013427
2015-01-14,96.12968444824219,98.97194244384765,110.4668025970459
2015-01-15,95.37078094482422,98.86492034912109,110.35462944030762
2015-01-16,96.95646667480469,98.8105697631836,110.25326156616211
2015-01-20,96.8392105102539,98.76404708862304,110.15391201019287
2015-01-21,93.84059143066406,98.64842025756836,110.04235542297363
2015-01-22,95.87671661376953,98.56598831176758,109.93265125274658
2015-01-23,96.17286682128906,98.47195663452149,109.82815292358399
2015-01-26,96.4752197265625,98.38631607055665,109.71502117156983
2015-01-27,94.81544494628906,98.28451004028321,109.5964977645874
2015-01-28,93.50737762451172,98.14580627441406,109.47291767120362
2015-01-29,95.93224334716797,98.03869445800781,109.35364868164062
2015-01-30,94.59332275390625,97.90480422973633,109.22995681762696
2015-02-02,95.4262924194336,97.81558486938476,109.11230716705322
2015-02-03,97.7770767211914,97.77905807495117,109.02576274871826
2015-02-04,96.84539031982422,97.7336457824707,108.9277161026001
2015-02-05,97.43156433105469,97.69650207519531,108.83296363830567
2015-02-06,97.3756332397461,97.64306137084961,108.73920341491699
2015-02-09,96.77295684814453,97.58237976074219,108.64700267791748
2015-02-10,98.51886749267578,97.55427200317382,108.56531833648681
2015-02-11,98.29521942138672,97.51897674560547,108.47188591003417
2015-02-12,98.49406433105469,97.49543243408203,108.3734818649292
2015-02-13,99.66216278076172,97.48130569458007,108.2767995071411
2015-02-17,100.01012420654297,97.45130905151368,108.19076034545898
2015-02-18,100.77434539794922,97.44239624023437,108.11487194061279
2015-02-19,101.83061981201172,97.46423400878906,108.04481010437011
2015-02-20,101.68150329589844,97.50048904418945,107.97772743225097
2015-02-23,101.22172546386719,97.51360443115234,107.90721881866455
2015-02-24,102.41468048095703,97.58118286132813,107.84386283874511
2015-02-25,101.15958404541016,97.61674819946289,107.77066772460938
2015-02-26,99.95420837402344,97.69842193603516,107.68386108398437
2015-02-27,100.61900329589844,97.82202041625976,107.601535987854
2015-03-02,99.71186828613281,97.94783737182617,107.52524486541748
2015-03-03,100.05359649658203,98.0740721130371,107.45754638671875
2015-03-04,99.05326080322266,98.10934432983399,107.38301868438721
2015-03-05,100.14679718017578,98.1562451171875,107.31414154052734
2015-03-06,98.48160552978516,98.13368530273438,107.24336547851563
2015-03-09,99.89203643798828,98.12946166992188,107.17507247924804
2015-03-10,98.05290222167969,98.09363876342773,107.09974655151368
2015-03-11,97.42536163330078,98.03884780883789,107.02049087524414
2015-03-12,98.15853881835938,98.02130340576171,106.94843441009522
2015-03-13,95.85958862304688,97.96345642089844,106.87006141662597
2015-03-16,97.59931182861328,97.93559066772461,106.79831604003907
2015-03-17,97.52474975585938,97.88624282836913,106.72437007904053
2015-03-18,99.2955551147461,97.90377853393555,106.65522701263427
2015-03-19,99.2955551147461,97.96376434326172,106.590104637146
2015-03-20,101.20307922363281,98.0744871520996,106.53409351348877
2015-03-23,102.2904052734375,98.16537048339843,106.47904132843017
2015-03-24,101.27763366699219,98.22748382568359,106.41773746490479
2015-03-25,98.91654205322266,98.27532348632812,106.34508491516114
2015-03-26,99.78022003173828,98.33587112426758,106.28262954711914
2015-03-27,99.66216278076172,98.40652069091797,106.22579807281494
2015-03-30,101.07254791259766,98.52055603027344,106.1791556930542
2015-03-31,99.72429656982422,98.57591262817382,106.12169052124024
2015-04-01,98.90413665771484,98.61721115112304,106.06076416015625
2015-04-02,99.6932601928711,98.73426452636718,106.00405746459961
2015-04-06,100.68115234375,98.8303532409668,105.94820854187012
2015-04-07,100.69981384277344,98.92089218139648,105.8948289489746
2015-04-08,100.56310272216797,99.0026498413086,105.84463428497314
2015-04-09,100.8675537109375,99.12369201660157,105.79416446685791
2015-04-10,101.1906509399414,99.27735748291016,105.74914848327637
2015-04-13,100.89239501953125,99.37656051635742,105.70312847137451
2015-04-14,100.84272003173828,99.50154846191407,105.65792621612549
2015-04-15,101.97972869873047,99.6326171875,105.61432723999023
2015-04-16,101.35836791992188,99.7042430114746,105.56896175384522
2015-04-17,99.82994079589844,99.76393402099609,105.50048027038574
2015-04-20,103.24103546142578,99.88012344360351,105.44284042358399
2015-04-21,102.06050109863281,99.97382080078125,105.37887134552003
2015-04-22,102.74395751953125,100.09324081420898,105.31981212615966
2015-04-23,105.77606201171875,100.23838470458985,105.278410987854
2015-04-24,105.4902572631836,100.38228546142578,105.2319256591797
2015-04-27,106.08052825927734,100.53401473999024,105.19058502197265
2015-04-28,108.0625991821289,100.70202346801757,105.1582406616211
2015-04-29,108.36082458496094,100.86903747558594,105.1217219543457
2015-04-30,106.42851257324219,100.98212081909179,105.07971473693847
2015-05-01,107.90726470947266,101.10365371704101,105.03331310272216
2015-05-04,108.0936508178711,101.23189666748047,104.98744728088379
2015-05-05,107.5406494140625,101.35827514648437,104.93878589630127
2015-05-06,106.45763397216797,101.43913421630859,104.88973556518555
2015-05-07,107.04609680175781,101.55686447143555,104.83375827789307
2015-05-08,108.10411834716797,101.71986267089844,104.78447242736816
2015-05-11,107.12749481201172,101.85003250122071,104.72539932250976
2015-05-12,106.7706527709961,101.99120819091797,104.6671007156372
2015-05-13,107.85371398925781,102.14721054077148,104.61001369476318
2015-05-14,108.96176147460938,102.34538055419922,104.56215267181396
2015-05-15,108.46722412109375,102.51178909301758,104.51355529785157
2015-05-18,108.3420181274414,102.7089973449707,104.4714291381836
2015-05-19,108.60491943359375,102.88325500488281,104.43829360961914
2015-05-20,108.78024291992188,103.09780181884766,104.40454223632813
2015-05-21,108.51727294921875,103.31964004516601,104.37721286773682
2015-05-22,107.8161392211914,103.51279205322265,104.34646968841552
2015-05-26,106.5077133178711,103.72575454711914,104.31430152893067
2015-05-27,107.67839813232422,103.92733627319336,104.28084747314453
2015-05-28,107.49686431884766,104.12677856445312,104.24391166687012
2015-05-29,106.20723724365234,104.26501220703125,104.20092609405518
2015-06-01,106.5390396118164,104.40988189697265,104.15773056030274
2015-06-02,106.20723724365234,104.50996505737305,104.11309047698974
